text,sentiment
"This study contributes to the body of knowledge in three aspects. Firstly, the proposed methods can also be applied to other regions, especially when the **data** of construction waste are insufficient. Secondly, this study not only estimated the carbon emission of recycling activities (environmental cost) but considered the equivalent amount of carbon emissions generated from alternative materials (environmental benefit), which is more in line with practice. The research outcomes would more clearly reveal the environmental benefits generated by construction waste recycling. Thirdly, this study estimated the total carbon emission of construction waste recycling in Shanghai from 2022 to 2031. Obtaining such **data** would help decision makers to set up more scientific management strategies and the action plan for Carbon Dioxide Peaking Before 2030 from the aspect of improving the recycling rate of construction waste and usage rate of recycled materials, which could further contribute to the achievement of China's 2060 carbon neutral goal by focusing on one of the most important economic regions: Shanghai City. However, this study has three main limitations. The first limitation is the assumptions. For example, the production of mortar waste recycling is not ignored, thereby affecting the accuracy of the results. The second limitation is that only the construction waste generated from new construction activities are quantified in this research. If other types of waste, such as demolition waste, construction clay and mud, are considered, then the carbon emission will be higher. The third one is that this study does not compare the outcomes with other disposals, such as traditional landfill practice. If such comparisons can be done, then it could provide decision makers with a clearer understanding of the carbon-saving potential generated from recycling construction waste. Despite research limitations, the results can still provide regulatory authorities with theoretical methods and **data** to establish strategies and policies on promoting waste recycling and cutting down on CO 2 emissions.  ",maybe
"Our **data** set is the earthquake catalog maintained by the Japan Meteorological Agency. We used earthquakes having M ≥ 0 since 2000 with depths shallower than 25 km within the study region.  used earthquakes until immediately before the Kumamoto earthquakes for their analysis, while we used them until 11 March 2019.",yes
"Middle to middle-Late Pleistocene environmental **data** comes from further afield than Flores, namely Java to the west. There, Middle Pleistocene environments have been reconstructed as mosaic of diverse evergreen forests, shrubby woodland, and extensive grasslands similar to modern day East Africa or India (Medway, 1972;De Vos et al., 1994;Van den Bergh, De Vos & Sondaar, 2001;Bouteaux, 2005;Louys & Meijaard, 2010). By around 135 ka, around the date of the Timor stegodon, annual precipitation on Java is estimated to have been much lower than today (Van der Kaars & Dam, 1995;Van der Kaars & Dam, 1997). Nevertheless, by around 126-81 ka, very warm and humid conditions returned, as did the rainforests (Van der Kaars & Dam, 1995;Van der Kaars & Dam, 1997;Westaway et al., 2007). Later Pleistocene environmental changes on Java continued to fluctuate between drier, more open glacial periods (e.g., MIS 2) and wetter, more humid interglacials (Louys & Meijaard, 2010).",maybe
"Fully annotated microarray **data** has been deposited in ArrayExpress (E-MTAB-162).
",yes
"The following **data** were taken from April 1995 to December 2015 and used in the analyses: Pollination/crossing number, female parent, ploidy of the female parent, male parent, ploidy of male parent, date of pollination, harvest date, date of seed extraction, total number of seeds, number of good seeds (with black hard integuments), number of bad seeds (with brown soft integuments), date of embryo extraction, number of extracted embryos, number of germinated embryos after two months, contaminations, number of weaned plants, and number of hardened plants ready for planting in the field. The total number of seeds per cultivar, total number of bunches of a cultivar pollinated but without seed, highest seed per pollinated bunch, mean of seeds per bunch and standard errors, and pollination success for triploid and tetraploid cultivars were calculated. Likewise, the total number of seeds per diploid used as male to pollinate cultivars, total number of bunches of cultivars pollinated by a particular diploid male but without seed, highest seed per bunch when pollinated by a particular diploid male, mean of seeds per bunch pollinated by particular diploid male and standard errors, and pollination success for 29 diploid males were calculated. The pollination success throughout the 21 years under study was computed as:",maybe
"The Agricultural , Forestry and Fishing sector ( A ) , has been the least affected economic compartment with a GDP variation accounting for 0.13 % ( −584 million euro ) of the total change . According to data provide by OECD ( 2020a ) , the COVI-19 related spike in the consumption of vegetable and citrus fruits has contributed to boost a significant increase in the demand of agricultural products , with Spain experiencing the major sectoral gains ( +587 million euro ) . In line with the analysis provided by Eurostat for the food - related retail sector , the demand of agricultural products increased during the two first months of the pandemic and stabilized in the following period ( Eurostat retail trade database ) . The non - closure of supermarkets and essential shops , together with the panic buying behaviours has contributed to sustain the demand of the agricultural compartment ( Jaspal et al . , 2020 ) . Consequently , minor variations have taken place for the related carbon dioxide emissions change , that reduced by 338 thousand tons ( −0.17 % of the total change ) .",yes
"According to the procedure , the first step is to collect extensive literature from the online library of the Delft University of Technology . The bibliometric data were collected on September 15 , 2019 , from the Web of Science Core Collection , excluding books ( BKCIeS and BKCI - SSH ) and conference proceedings ( CPCIeS and CPCI - SSH ) . The publications in local journals and unpublished academic documents are excluded due to language barriers , unavailable permission , etc . The timespan is set from 1970 to 2019 . The searching topics were as follows :",maybe
"-Accession codes , unique identifiers , or web links for publicly available datasets -A list of figures that have associated raw data -A description of any restrictions on data availability",maybe
"The case study of the Ceuvel was based on the analyses of both primary data and secondary data . The primary data included four semistructured interviews that we conducted at the end of 2019 and beginning of 2020 . Two of which were with some of the early initiators of De Ceuvel -both architects -and two were with civil servants directly involved . The secondary data was retrieved from a study in 2017 on Urban Living Labs in which both De Ceuvel and BSH were cases , executed by two fellow researchers ( Steen & van Bueren , 2017a;Steen & van Bueren , 2017b ) , one of whom is co - author of this paper . This data includes e.g. semi - structured in - depth interviews with two other members of the initiating team of De Ceuvel , i.e. the founder of Metabolic -a start - up in clean - tech at the time -and a landscape architect . Furthermore , various documents and analyses by others ( Barba Lata & Duineveld , 2019 ; Donovan , 2017 ) were studied and complemented with observations .",maybe
"In this work we use data collected by the TA SD array in a 9 - year period from May 2008 to May 2017 with reconstructed energies above 43 EeV , zenith angles less than 55 • , and declinations δ > −10 • using the same quality cuts as in Abbasi et al . ( 2014 ) . This dataset comprises 284 events . We neglect the finite angular and energy resolution of TA events , and consider the detector fully efficient , i.e. with a flat response for all showers with energies and zenith angles in the considered range , so that its directional exposure ω TA equals the geometrical one for δ > −10 • , which varies with declination but not with right ascension ( Sommers 2001 ):",maybe
"Online data collection was carried out December 10 - 18 , 2020 , through Prolific Academic ( http://prolific.ac ) , one of the most popular and reliable crowdsourcing platforms for behavioral research ( Palan and Schitter , 2018 ) . There were no time limits on task completion , and the average response time was less than 2 min . Participants received 0.63 British pounds , which guarantees an hourly rate in line with the Prolific compensation policy .",maybe
"It is worth noting that the presence of the SARS - CoV-2 has also been demonstrated in the urine of SARS - CoV-2 infected patients ( Holshue et al . , 2020;Wang et al . , 2020b;Wang et al . , 2020c ) . The virus was more stable in urine than in the stool . The infectious virus was detectable for up to 3 days in the urine of two adult COVID-19 patients and after 4 days in the urine of one child . In turn , the SARS - CoV-1 retained infectivity in a urine sample for 5 ( 21 - 25 ° C ) ( Duan et al . , 2003 ) to 17 days ( 20 ° C ) ( Wang et al . , 2005 ) . None of these studies reported a period of complete virus inactivation . More and more authors show the presence of SARS - CoV-2 in urine , but the incidence of this phenomenon is low , and its significance from a clinical point of view is probably low ( Peng et al . , 2020;Liu et al . , 2020aLiu et al . , , 2020bYoon et al . , 2020 ) . The presence of the virus in the urine is not necessarily an indicator of infectious particles in this material . The infectivity of the viral particles can be assessed using in vitro tests on cell culture ( Sun et al . , 2020;Zhang et al . , 2020d;Wang et al . , 2020c;Xiao et al . , 2020b ) . Sun et al . ( 2020 ) showed that the urine sample was for the first time positive for SARS - CoV-2 RNA on day 12 postinfection ( p.i . ) and had periodically showed positive results in RT - PCR test until 42 days . They observed cytopathic effect in Vero E6 cells for the 12 p.i . specimen after three days ( Sun et al . , 2020 ) . Table 4 presents data on SARS - CoV-1 and SARS - CoV-2 in urine and stool . The knowledge of the stability of SARS - CoV viruses in human excretions is of great importance as it allows to predict their role as a source of virus particles .",maybe
"For comparison also several other ( known ) K - P alloys were calculated : K3P , K4P3 , KP , K2P3 , and K3P11 . These structures were taken from the Materials Project data base [ 10 ] and subsequently re - optimized using the same methodology as for the intercalation compounds .",maybe
"parameterized by Θ 2 . Researchers have found that fusing different kind of n - gram language models together ( Goodman ( 2001 ) , Mikolov et al . ( 2011 ) ) often significantly improves performance . Table 1 shows the perplexity 3 of 4 - gram and NNLMs on a standard split of the Penn Treebank data set ( Marcus et al . ( 1993 ) ) . Interpolation of a NNLM with a 4 - gram LM gives a 16.9 % reduction in perplexity over a single NNLM even though the two LMs have relatively close perplexities . We use the correlation coefficient between the posterior probabilities of the predicted word over the test set from the two models as a simple measure to predict whether the models are diverse . If the posterior probabilities are highly correlated , then the models are less diverse and smaller gains are expected from fusion . The posteriors from the N - gram and NNLM have a correlation coefficient of 0.869 which is significantly lower than the correlation coefficient of 0.988 for a pair of randomly initialized NNLMs . This higher diversity of the NNLM and N - gram LM combination results in significant perplexity improvement upon interpolation .",maybe
"To compare our findings to observations , we extract the following characteristics from the computed spectra : ( i ) the ratio of the integrated redward over the integrated blueward flux ( L red /L blue ) -which is a measure of the asymmetry of the line shape ; ( ii ) the flux at ' draught ' between the peaks ( F valley ) in comparison to the flux at the maximum point ( F peak ) , which , in practice , quantifies the ' deepness ' of the draught of the double peaked spectra ; and ( iii ) the position of the red emission peak ( v red ) . We show the evolution of these measures in Fig . 3 from t = 40 to 100 Myr ( in intervals of 10 Myr ) with the last data point marked with a square . We compare this to observations of nearby , star - forming galaxies ( the ' Green Peas ' ; data taken from Yang et al . 2016 , also Henry et al . 2015 , and to z ∼ 2 − 3 Lyman - α selected galaxies ( Erb et al . 2014 ) . In addition , we also display other simulation results presented in Walch et al . ( 2015 ) , Gatto et al . ( 2017 ) , and Peters et al . ( 2017 ) ( shown as black circles in Fig . 3 ) . These hydrodynamical simulations include supernovae feedback with random SN positions and cover SN rates from 5 to 45 Myr −1 with none including CRs ( but partially include stellar wind and UV feedback ) . We show them only to support the case that the spectral shape we obtain for the ' noCR ' simulation is not an outlier -but in fact typical for hydrodynamical simulations containing thermal feedback . Fig . 3 shows that all the simulations without CRs produce Lyα spectra with significant flux at line center ( F valley 0.4F peak ; see also the left panel of Fig . 1 ) . This flux is reduced significantly from t 30 Myr in the CR simulations as the outflow is established . Also the asymmetry of the line is increased leading to L red /L blue ∼ 2 . Both measures are more in line with what is found in observations where mostly F valley /F peak 0.1 and L red /L blue 2.5 ( see also Steidel et al . 2010;Kulas et al . 2012 ) . Determining F valley observationally requires a high spectral resolution since the convolution of the true spectrum with the instrument 's kernel leads to a spreading of the peak flux , and thus , the true value of F valley can be even lower than measured . This effect makes our comparison of F valley /F peak conservative and the true discrepancy between the ' noCR ' simulation and the observations might be even larger .",yes
Supplementary **data** are available at Journal of Tropical Pediatrics online.,yes
"To characterize the driving factors that separated these groups, including grazing, we used non-metric multidimensional scaling ordinations with Sorenson distance measure. We did not transform the data. We used a random starting configuration with 250 runs of real data. Ordinations were overlaid with elevation, climatic variables: 30-year average precipitation, maximum temperature and minimum temperature, maximum number of frost-free days, minimum number of frost-free days and disturbance variables related to grazing intensity: distance from water, and ratios of active and suspended animal unit months (AUMs) over permitted AUMs. Climate **data** were taken from PRISM (2010).",maybe
The **data** presented in this study are available on request from the corresponding author.,yes
3 http:// id. loc. gov accessed 11th July 2020. 4 http:// libris. kb. se **data** accessed 30th July 2020. 5 https:// pro. europ eana. eu/ page/ linked-open-data accessed 30th July 2020. 6 http:// bnb. data. bl. uk accessed 18th July 2020. 7 https:// data. swiss bib. ch/ accessed 30th July 2020. 8 https:// data. bnf. fr/ en/ about accessed 9th May 2021. 9 http:// datos. bne. es/ inicio. html accessed 30th July 2020. 10 https:// www. dnb. de/ DE/ Home/ home_ node. html accessed 30th July 2020. 11 https:// wiki. dbped ia. org/ accessed 9th August 2020. 12 https:// www. wikid ata. org/ wiki/ Wikid ata: Main_ Page accessed 16th July 2020. 13 Also known as entity resolution. 14 https:// openr efine. org/ accessed 16th July 2020.,maybe
"t Ct/min with P3NS1 spent medium. § Supernatant 791T/36 Clone 3 was diluted 1:10 and absorbed with 108 cells/ml at room temperature for 2 h. These conditions were based upon those used successfully with a monoclonal antibody to a rat breast carcinoma, which has a titre against relevant target cells of 1/1000 (Gunn et al., 1980); this was also the titre empirically determined for 791T/ 36 Clone 3. Table III shows **data** from experiments in which the monoclonal antibody was (a) absorbed by 791T cells and tested against other cross-reactive target cells, (b) absorbed with other tumour cells and tested against 791T, or (c) absorbed with, and tested against cells other than 791T. Where the cross-tested absorbing cells or target cells were reactive with the antibody (Table II) reductions of bound ct/min of between 70% and 90% were obtained after absorption. When the antibody was absorbed with non-crossreactive cells (Mel 2a, Mel 57, PA-1) however, the reduction of activity against 791T cells was only 11-24%. These results support the specificity of the antibody demonstrable in direct tests.",yes
"Table 2 (Continued)
 2Protein **data** for the 54 protein isoforms identified in this studyhttp://genomebiology.com/2008/9/12/R177 Genome Biology 2008, Volume 9, Issue 12, Article R177 Foth et al.R177.9 Genome Biology 2008, 9:R177",maybe
Fully annotated microarray **data** has been deposited in ArrayExpress (E-MTAB-162).,maybe
"S. littoralis larvae raised on South African Bt maize treated with AB had similar high survival rates (65-80%) than those raised on untreated (no AB) Bt maize ( Figure 3 left panel, p = 0.07, coxph test). S. littoralis larvae raised on Spanish Bt maize treated with AB had significantly higher survival than larvae raised on untreated Bt maize ( In both insect species, the AB treatments did not affect the survival of larvae fed non-Bt control maize (data not shown). However, the two insect species exhibited different responses to the combined effects of Bt maize variety and AB treatment. Therefore, we present the **data** for each insect species separately below.",maybe
"Quality appraisal of the included academic literature was undertaken using the ten-item Critical Appraisal Skills Programme (CASP) checklist for qualitative research (Critical Appraisal Skills Programme 2018). Despite its demerits, the CASP tool is commonly used in qualitative research (Hannes et al 2010). Three evaluators (BK, SL and JW) independently assessed the quality of each study with discrepancies resolved through consensus and discussion with third party evaluators (PM and SO). No studies were excluded on the basis of quality, as per the summary of the results in supplementary **data** S2.",maybe
"Raw **data** were filtered to remove any adapter sequences, low-quality reads (quality value Q ≤20 at the 3 end), reads containing N (modular bases), and sequences whose length was too short (<30 bp), by using the tools SeqPrep (https://github.com/jstjohn/SeqPrep) and Sickle (https://github.com/najoshi/sickle). The remaining highquality **data** were used to generate unigenes on the Trinity software platform (http://trinityrnaseq.github.io) [51]. Their functional annotations and classification were performed using the alignment search tool BLASTX (http://blast.ncbi.nlmm.nih.gov/Blast.cgi), applied to six public databases, namely, NR, Swiss-Prot, GO, COG, KEGG, and Pfam. The expression level of each transcript was calculated according to the method of fragments per kilobase of exon per million mapped reads (FPKM). To identify DEGs between libraries, the DESeq2 tool was used (http://www.bioconductor.org/packages/release/ bioc/html/DESeq2.html). Only those unigenes with a P-value ≤.05 and a fold change ≥1.5 were designated as differentially expressed. The obtained DEGs were subjected to GO enrichment and KEGG enrichment analyses.",maybe
Journal of Clinical Microbiology to align genomes using default parameters with multiple sequence comparison by log expectation (MUSCLE) (21). Data availability. Next-generation sequencing read **data** are available under NCBI BioProject no. PRJNA683873 (see also Table S1 in the supplemental material).,yes
"(73%) tetranucleotide, 46 (12%) trinucleotide and 54 (15%) dinucleotide microsatellites. The markers and their characteristics are provided [see Additional file 1]. The raw genotype **data** can be obtained by contacting the authors (aadeyemo@howard.edu or crotimi@howard.edu.)",yes
"Data for the 'neighbour' pillar were collected through available **data** such as census **data** and local surveys. This was complemented by the **data** extracted from the questionnaires regarding the household status, length of residency, place of birth of household members, household type, and ownership, etc. The final stage was conducting a crosspillar analysis through which any possible correlation and association between different indicators were identified and explained. This analysis integrates collected **data** and draws a holistic and broad picture from social sustainability of neighbourhoods.",yes
"Exposures studied were (1) 2018 county-level SVI and its subcomponents obtained from the CDC GRASP database, 2 3 and (2) racial composition **data** (reported as proportion of black and Hispanic residents in a county) from the US Census Bureau American Community Survey (ACS) database. 4 The SVI was developed by the CDC as a measure of community resilience to stresses on human health, such as disease outbreaks and natural or human-caused disasters, to help public health officials and emergency response planners identify communities that are likely to need support before, during and after a disaster. 2 3 The index combines statistical **data** from the US Census on 15 variables, grouped together into four related themes: SES, housing composition and disability, minority status and language, and housing type and transport (table 1). Each of these variables is ranked from lowest to highest vulnerability across census tracts in the USA and a county-level percentile rank is calculated for each variable, theme and the overall SVI, with higher percentiles indicating higher social vulnerability. In terms of the racial composition data, we focused on the proportion of black and Hispanic residents in a county since they represent the largest minority groups across a broader geographical region in the USA. The **data** were collected by the US Census Bureau as self-reported race/ ethnicity between 2015 and 2019. 4",maybe
"On MDCT, the hematoma was located in the retroperitoneum in 37/56 (66.1%) patients, the rectus sheath in 13/56 (23.2%) patients, and the thigh muscle in 3/56 (5.4%) patients. Three patients (3.2%) had two SSTHs: one patient had psoas and thigh hematomas, one patient had rectus and thigh hematomas, and one patient had thigh and retroperitoneal hematomas. The median volume of SSTH was 1336 (135-1664) ml and 32/56 (57.1%) patients had a fluid level within the hematoma(s). Pre-procedure **data** are detailed in Table 2.",maybe
"In the same way that the growth of protein databases allowed refined construction of amino acid substitution matrices, the recent increase of nucleotide sequence **data** made it possible to apply these methods at the codon level. The matrices presented here were constructed using the approach of Gonnet [4]. This implies that pairwise alignments using full dynamic programming [7,8] were used in order to count the observed transitions between codons. The sequence **data** was taken from the complete vertebrate genome databases of ENSEMBL [9].",maybe
"In both insect species, the AB treatments did not affect the survival of larvae fed non-Bt control maize (data not shown). However, the two insect species exhibited different responses to the combined effects of Bt maize variety and AB treatment. Therefore, we present the **data** for each insect species separately below.",yes
"Apart from the synthesis of the ligand (Naph 2 carbH, 1) and the phosphine oxides, all products described were treated with rigorous exclusion of air and water using standard air-sensitive handling techniques which included bench-top operations (Schlenk line) and glove-box techniques. NMR samples of air and moisture sensitive compounds were prepared using glove box techniques and contained in Young's tap modified borosilicate glass NMR tubes. NMR **data** were collected on either a Bruker DPX300, DPX400, AV400, AV(III)400, AV(III) 400HD or AV(III)600 spectrometer. Chemical shifts are quoted in ppm relative to TMS ( 1 H, 13 C{ 1 H}) and H 3 PO 4 ( 31 P, 31 P{ 1 H}). Reaction progress was monitored by quantitative 31 P, 31 P{ 1 H} NMR spectroscopy (inverse gated decoupled) of samples prepared in dry, non-deuterated toluene, with a C 6 D 6 insert for locking. Apart from the substrates employed in Entries 8-9, Table 2, which were prepared following reported procedures; [77] all reagents were used as received. Magnetic moments were calculated through the Evans method at 298 K, employing C 6 D 6 as solvent. Diamagnetic corrections were calculated according to Pascal's constants. [78] CCDC 1874664-1874672 contain the supplementary **data** for 3-9, 4-CO and 20 a. These **data** can be obtained free of charge from The Cambridge Crystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif. Safety warnings: 1-Naphthylamine is highly toxic and is suspected to be a carcinogen; great care must be taken during synthesis and adequate handling of waste should be procured. Carbon monoxide is an extremely toxic and flammable gas, good ventilation within a fumehood should be procured when running a Schlenk line with this gas as source, away from open flames and with a carbon monoxide detector operating at all times.",yes
"Phylogeny of all plant species we surveyed in this study was performed using PhyloT program (http://phylot.biobyte.de/ ) with the NCBI taxonomy IDs for each species and visualized with iTOL program. The phylogenetic trees were constructed based on the maximum-likelihood (ML) method with a JTT model and the bootstrap test was carried out with 2000 iterations by the MEGA 6.0 software [68]. To insure the more divergent domains could be conducive to the topology of the ML tree, all positions with 95% site coverage were eliminated. All the phylogenetic trees were deposited in Treebase (http://purl.org/phylo/treebase/phylows/study/TB2:S21358). The whole set of MAPKK protein sequences were assigned to different orthology groups using OrthoMCL [69] after Blastp all vs all (e-value 1e − 10) (http://orthomcl.org/orthomcl/). Synteny analyses of duplicate gene pairs and the WGD **data** were achieved from the Plant Genome Duplication Database (PGDD; (http://chibba.agtec.uga.edu/duplication/index/locus) [40]. MAPKKs we surveyed were produced by segmental duplication of the plant genome were determined by the analysis of the output file (Additional file 12) of the CoGe SynMap program (https://genomevolution.org/coge/SynMap.pl) obtained using a default parameter [70].",maybe
All **data** present are available in the article and in the supporting information.,yes
"The **data** used to support the findings of this study are restricted due to patient privacy. Access to these **data** will be considered by the author upon request, with permission from the Institutional Review Board.",yes
"NGC4993 was also observed during Hubble Space Telescope ( HST ) Cycle 24 ( PropID 14840 , PI : Bellini ) using ACS in F606W. The data were publicly released in April 2017 and were accessed via the Hubble Source Catalog ( HSC ; Whitmore et al . 2016 ) .",maybe
The metagenomes are deposited in European Bioinformatics Institute European Nucleotide Archive under accession no . PRJEB39223 . The non - metagenomic data used for analysis in this study are held by the Department of Twin Research at King 's College London . The data can be released to bona fide researchers using our normal procedures overseen by the Wellcome Trust and its guidelines as part of our core funding . We receive around 100 requests per year for our datasets and have three meetings per month with independent members to assess proposals . The application can be found at https://twinsuk.ac.uk/resources-for-researchers/ access - our - data/. This means that data need to be anonymized and conform to GDPR standards .,yes
