Text,instruction,input,Label
"FIGURE 1
1Study Cohort and CONSORT Diagram (A) Study cohort: Scatterplot showing the distribution of left ventricular ejection fraction (LVEF) against anthracycline cumulative dose, with control patients in blue (n ¼ 121), case patients in red (n ¼ 238), and the rest in gray (n ¼ 357). (B) Consolidated Standards of Reporting Trials (CONSORT) diagram: selection of case and control patients for exome sequencing in the discovery cohort. *Participants with complete **data** and good-quality DNA. PCS2 ¼ Preventing Cardiac Sequelae in Pediatric Cancer Survivors. /l of dimethyl sulfoxide (DMSO) or inhibitors of the protein products. One mmol/l DOX was associated with cell death and was not used (data not shown",Is data availability statement,,0
"To echo this last point, one of the main challenges of metabolomics in plant pathology is distinguishing plant and microbial metabolomes [80]. Metabolites, most particularly primary compounds, are often ubiquitous in the diverse plant, microbial and animal organisms, or exchanged between the host and pathogens, as signals or metabolic responses. In pathological studies (Figure 1), plants and microbes are jointly incubated, but the pathogens are rarely removed before metabolite extraction, thereby mixing metabolomes of different origins. This probably seems to be of minor importance for other omics, such as transcriptomics and proteomics, which exploit species-specific databases. However, metabolomics suffers from cross-contamination of the host and non-host metabolites; therefore, it is often difficult to draw precise conclusions as to the origin of the metabolic variations found. Whilst one can search **data** for metabolites of non-plant origin, for example, arachidonic acid with respect to fungal pathogens, one cannot assume that their absence suggests that metabolites of fungal origin are not being detected. Implementing stable isotope labelling of microbes could address this pressing concern. A recent metabolomics study of the early stage of plant cell-microbe interactions employed an incubation method of 13 C-and 15 N-labelled (98%) Pst DC3000 with Arabidopsis cells, followed by a washing step to remove the excess bacterial cells [169]. Subsequently, ""light"" plant metabolites were analyzed by targeted LC-MS, highlighting an infection reprogramming of plant signaling and primary metabolic pathways, including carbohydrates, nucleotides, and amino and organic acids. Alternatively, uniformly 13 C-and 15 N-labelled plants can be prepared, which will offer an accurate tool for metabolomic analysis under biotic stress conditions [170]. The growing interest in isotopically labelled biological material coincides with the development of additional analytical tools, such as NMR and high-throughput GC-and LC-HRMS, which allow the discrimination between native and labelled metabolites ( Figure 3). It is conceivable that elegant studies of this type will be carried out less sporadically, to help clarify the origin of changes in the host and pathogen metabolome. In summary, future prospects that will greatly contribute to the success of metabolomics in the study of plant immunity will include (i) increasing the capacity to chromatopgraphically resolve and annotate plant and pathogen metabolomes, (ii) new tools and approaches to analyze the metabolome at the subcellular level, and (iii) the development and implementation of modelling, to predict and/or calculate the dynamics of metabolic variations.",Is data availability statement,,0
"Secondly , given the genetic overlap between traits , we observed that some signals were shared between sex hormone traits but appeared to have much stronger effects in one versus others . To help derive additional genetic risk scores that reflected this , we took all genome - wide significant signals within each sex but across traits , and performed ward - based hierarchical clustering 35 on individual variant Z scores . We used the observed clusters from these analyses to produce additional genetic instruments ( Supplementary Table 16 ): 8 . A ' male SHBG cluster ' ( N = 362 ) formed from SNPs with dominant effects on SHBG in men . Each SNP in this genetic instrument is weighted by its effect from the BMI - unadjusted SHBG analysis . 9 . A ' male testosterone cluster ' ( N = 122 ) formed from SNPs with dominant effects on both total and bioavailable testosterone in men . Each SNP in this genetic instrument is weighted by its effect on total testosterone . 10 . A ' male estradiol cluster ' ( N = 14 ) formed from SNPs with dominant effects on estradiol in men . 11 . A ' female SHBG cluster ' ( N = 373 ) formed from SNPs with dominant effects on SHBG in women . Each SNP in this genetic instrument is weighted by its effect from the BMI - unadjusted SHBG analysis . 12 . A ' female testosterone cluster ' ( N = 241 ) formed from SNPs with dominant effects on both total and bioavailable testosterone in women . Each SNP in this genetic instrument is weighted by its effect on total testosterone . Gene prioritization . We used the SMR software package 36 to systematically map associated genetic variants to genes via expression effects ( eQTLs ) . For all analyses we included expression data from liver , in addition to skeletal muscle in men and adrenal gland in women . All expression data were generated by the GTEx consortium ( v7 ) , made available from the SMR website resource section ( https:// cnsgenomics.com/software/smr/#DataResource ) . Only genes passing multiple test correction and exhibiting no statistically significant evidence of coincidental eQTL overlap ( assessed by the SMR HEIDI metric ) were considered . The same data were additionally used to perform global tissue enrichment using linkage disequilibrium score regression applied to specifically expressed genes ( LDSC - SEG ) 37 .",Is data availability statement,,1
"(3) Digital elevation model (DEM), which was downloaded from the Geospatial Data Cloud Available online: http://www.gscloud.cn/ (accessed on 26 April 2020). In the above data, the DEM data, with a resolution of 30 m, can be extracted into slope and elevation. (4) The highway, the primary road and railroad **data** procured from OpenStreetMap Available online: http://www.openstreetmap.org (accessed on 13 July 2020). The population density **data** was provided by Landscan Available online: https://landscan.ornl.gov/ (accessed on 18 December 2020). (5) The 1000 m Normalized Difference Vegetation Index (NDVI) **data** and 30 m land use and land cover change (LUCC) **data** were obtained from the Data Centre for Resources and Environmental Sciences, Chinese Academy of Sciences (RESDC) Available online: http://www.resdc.cn (accessed on 26 April 2020). NDVI and LUCC **data** were obtained by remote sensing image processing. NDVI **data** was based on inversion of SPOT/VEGETATION and MODIS satellite remote sensing and LUCC **data** was generated by manual visual interpretation based on Landsat 8 remote sensing images. (6) China Nature Reserve, the earthquake and landslide vector **data** acquired from RESDC. China Nature Reserve are surface vector data, the rest are point vector data.",Is data availability statement,,1
"Our work is consistent with that of others demonstrating that neuronal uptake of tau seeds occurs in a clathrin-independent, but dynamin1-and actin-dependent mechanism. Herein, we demonstrate for the first time the critical involvement of Rac1 in this process. The use of pharmacological and genetic approaches in neuronal uptake and seeding assays shows the relevance of this pathway in tau spreading pathology further strengthening findings by other groups. While we previously suggested CME in the neuronal uptake of Tau because of the demonstrated role of Bin1 (14), our current **data** prove that unequivocally clathrin does not play a role. Selectively inhibiting downstream effectors of Rac1 involved in actin polymerization and endocytosis, including Arp2/3, N-WASP, and PAK1, did not reduce tau seeds internalization. As mentioned before, clathrin-independent, dynamin-dependent endocytosis as well as macropinocytosis has been proposed previously as a mechanism by which tau aggregates are internalized by cell lines (16,17) or human neurons (18). The **data** presented here show that also in neurons, several proteins that are part of the core machineries involved in clathrin-independent endocytosis or macropinocytosis, such as dynamin1, actin, and Rac1, are involved in the uptake of Tau seeds. However, molecular players functioning in macropinocytosis, like PAK1, could not be linked to tau seeds uptake (58,59). Therefore, we conclude that the uptake of tau seeds by neurons is carried out by a distinct endocytosis mechanism that is dependent on dynamin and Rac1 and independent of clathrin.",Is data availability statement,,0
1.5 1.5 Figure 5 : Hyper - parameter search for the pruning algorithm according to Han et al . ( 2015b ) . Each point of the grid represents a weight decay coefficient -quality factor pair . The number and the color indicate the performance in terms of accuracy ( left ) or connectivity ( right ) . The red rectangle indicates the data points that were used in Fig . 3A.,Is data availability statement,,0
"Theorem 4 .
4Consider the following commutative diagram. Then π N (H) : M H → M H /N (H) is a bundle reduction of π : M → M/G and π ′ : M H → M H /(N (H)/H) is a principal bundle reduction of M H → M H /N (H). There is a one-to-one correspondence between principal bundle connections on M H → M H /(N (H)/H) and singular connections on M . Furthermore, the curvature form for the singular connection restricted to M H is equal to the curvature form Ω of the principal connection. Proof. As we have already remarked, every G-orbit in M intersects M H in a unique N (H)-orbit. Therefore for m ∈ M H , π N (H) (m) = π(ι(m)), and then M/G ≃ M H /N (H). Furthermore, since H fixes every point of M H , the free action of N (H)/H on M H has the same orbits as the action of N (H) on M H and therefore the bundle M H → M H /(N (H)/H) is a principal bundle reduction of M H → M H /N (H). To set up the one-to-one correspondence of connections, we start with a connection on the principal bundle π ′ : M H → M H /(N (H)/H). Denote this connection by Γ consisting of horizontal spaces Q m for each m ∈ M H and its connection form by ω : T M H → n/h. We show how to induce from this **data** a connection on M → M/G where the connection **data** will consist of a horizontal distribution invariant with respect to the group action. Given m ′ ∈ M we have m ′ = g · m for some m ∈ M H and g ∈ G.",Is data availability statement,,0
"Corrected Proof two-day, once in 10 year rainfall **data** were used. As there is no backwater effect, water flows through the canals by gravity. The drainage capacity of the Pungi canal is insufficient in some places, which contributes to flooding in a number of areas. The drainage capacity of the Kerunga canal is sufficient to carry the storm water it receives and hence no flooding occurs in the Kerunga canal catchment. The simulated inundated area is around 166 ha, which falls mainly in the Pungi canal catchment under this scenario (Figure 14). canals and the construction of some new drains in the Pungi canal system were incorporated into scenario Sc-2. The bottom level of the canal becomes silted up in some places, or the channel sections become narrow due to encroachment. While designing the section, a gentle slope is maintained along the canal and widened at places where necessary. These improvement works would increase the canal's water-carrying capacity and would make 94 ha land free of waterlogging in the Pungi catchment area, and the simulated inundated area would be about 72 ha (Figure 14). The areas that are flooded are mainly agricultural lands at a lower elevation.",Is data availability statement,,0
"This research has used quantitative descriptive approach which pointed to theory and concept examination through variable measurement in matrix and number. That is according to **data** analysis procedure and statistic tools to measure and examine hypothesis. Processing statistical **data** has an important role in research because the results of **data** processing will be concluded by research. Data analysis methods will be discussed regarding descriptive analysis and path analysis using SPSS 22.0. Based on the above research framework and hypothesis, this study uses the PLS software for statistical analysis and research hypothesis verification for **data** collection.",Is data availability statement,,0
"Data sources . Almost all residents in Scotland are registered with a general practice and have a unique Community Health Index ( CHI ) number used by NHS Scotland . We used the CHI number to deterministically link all datasets with vaccination records in Public Health Scotland ( Extended Data Fig . 4 ) . Vaccination information was extracted from the general practice records and the Turas Vaccination Management Tool system ; together , these captured all vaccination records , including those vaccinated in general practices , community vaccination hubs and other settings , such as care homes and hospitals in Scotland 40 . Further details on the data sources used in this study are available in a published project protocol 24 .",Is data availability statement,,1
"We correct for leading-track misidentification with a data-driven procedure. Starting from the measured distributions, for each event the track loss due to inefficiency is applied a second time to the **data** (having been applied the first time naturally by the detector) by rejecting tracks randomly. If the leading track is considered reconstructed it is used as before to define the different regions. Otherwise the sub-leading track is used. Since the tracking inefficiency is quite small (about 20%) applying it on the reconstructed **data** a second time does not alter the results significantly. To verify this statement we compared our results with a two step procedure. In this case the inefficiency is applied two times on measured data, half of its value at a time. The correction factor obtained in this way is compatible with the one step procedure. Furthermore, the data-driven procedure has been tested on simulated **data** where the true leading particle is known. We observed a discrepancy between the two methods, especially at low leading-track p T values, which is taken into account in the systematic error. The maximum leading-track misidentification correction is 8% on the final distributions.",Is data availability statement,,0
"In this paper , the key assumptions are explained in more detail and the most relevant sources are displayed . In order to encourage other researchers , companies and LCA experts to reproduce , update or adjust our findings , the supplementary documentation ( SD ) provides detailed information on other assumptions ( mainly about the chosen inventory data ) , data sources , process schemes and the used inventory processes ( mostly from the Ecoinvent database ) .",Is data availability statement,,1
"
to the same scales as the soluble silica. 1 In what follows numerical **data** relating to the Chalk, unless otherwise stated, have been obtained from A. J. Jukes-Browne, Cretaceous Rocks of Britain, Mem. Geol. Surv. ; and from the papers on the White Chalk of the Knglish Coast in the Proc. Geol. Assoc. (1899-1903), by A. B. Rowe and CD. Sherborn.2 B. Moore, Trans. Geol. Physics Soc, 1917, p. 1. 
3 W. J. Sollas, The Age of the Earth, London, 1905, pp. 132-65. 
r-",Is data availability statement,,1
"In terms of the **data** matrix X with rows corresponding to days and columns to times, the 'average' type regression estimate for d • is given by where β is an estimate for the (column) vector of regression coefficients β and Ŷ is the regression estimate. This expression corresponds to an unweighted average over N (selected) days if β contains N elements with value 1/N and otherwise zeros. Viewed as a regression, an intercept is included by adding a column of ones to X T , and the estimate β d • t • for β is obtained by minimising a loss function. We denote with the subscripts the fact that β is estimated by using the observation at d • but only the times t • (excluding the eclipse) as a target. The 'smoothing' approach consists in using the columns of X corresponding to t • as the regression's targets and all remaining columns X dt • as predictors:",Is data availability statement,,0
"As arule , when apples , pears , orother fruit ripen , the associated appearance of the appetizing colors of the ripe fruit is av isual indicator of their degree of ripeness . [ 81 ] At the same time , t he Chl originally present in the unripe green fruits is broken down , presumably to produce phyllobilins . C hl breakdown in the peel of Golden Delicious apples ( Malus domestica)a nd of Williams pears ( Pyrus communis)w as shown to yield the nonfluorescent type - I phyllobilins epi-9 and epi-11,also named Md - NCCs and Pc - NCCs . [ 59 ] Thesame ( epi - type , that is , RCCR-2 derived ) NCCs were also found in senescent leaves of the corresponding apple and pear trees , thereby indicating acommon pathway in the leaves and fruit of these fruit trees . [ 59 ] Several NCCs , including Ej - NCC-2 ( epi-29,T able 1 ) , were identified ( on the basis of mass - spectrometric and UV - spectroscopic data ) in quince ( Cydonia oblonga , M iller ) [ 82 ] and in loquat fruit ( Eriobotrya japonica ) . [ 83 ] Likewise , t he NCCs Bo - NCC-1 ( 3)a nd Bo - NCC-2   Figure 19 for the structures of type - II phyllobilins derived from pFCC ) . Figure 21 . Ripening fruit ( left ) and degreening florets of broccoli ( right ) undergo Chl breakdown and accumulate colorlessp hyllobilins . [ 59,61 ] Angewandte Chemie Reviews ( 17 ) , as well as Bo - DNCC-3 ( 30 ) , were characterized in degreening broccoli florets ( Brassica oleracea , v ar . Ital . ) . These three NCCs are known representatives of the normal stereochemical series of type - I and type - II phyllobilins . [ 61 ] Five NCCs were described earlier in senescent spinach leaves ( Spinacia oleracea ) , the so - called So - NCCs ( epi-1 , epi-5 , epi-11 , epi-12 , epi-13 ) , which belong to the epi series of NCCs . [ 50,64 ] As expected , in ripe(ning ) fruit and ( degreening ) vegetables , Chl breakdown follows the common PaO / phyllobilin pathway and furnishes colorless type - I and type - II phyllobilins , inaspecies - dependent way . Clearly , these plantderived components of our food are acommon source of Chl catabolites , w hich , hence , a re part of our daily nutrition . [ 6a ]",Is data availability statement,,0
"To further study the potential role of PIKfyve in K18 PFFs uptake and seeding, we used YM-201636, a selective pharmacological PIKfyve inhibitor, shown to reduce the synthesis of PI 3,5 P 2 and to a lower extent PI 4,5 P 2 (49). To confirm its selectivity, we characterized this compound in a kinome profiling at 1 μM (Fig. S6). The selectivity profile confirmed strong binding to PIKfyve and no binding to the other two PIP5K subfamilies (note that the KINOMEscan from Discov-erX does not contain assays for the isoforms PIP5K1B and PIP4K2A-full **data** set is provided in Fig. S6).",Is data availability statement,,1
"First, in our analysis, Msn2, Sok2, and HOG TFs (Hot1 and Sko1) form a TF cluster ( Figure 4A), and the HeRS scores between Sok2 and HOG kinase are greater than that of the Msn2 and HOG kinase. Since Msn2 is the substrate of Hog1 [22], the above **data** indicates close relationship between Sok2 and HOG pathway. Plus, in meiosis and mitosis, Sok2 associates with Msn2/4, and they are co-regulated in the cAMP-dependent protein kinase signal transduction pathway [23]. These observations suggest that Sok2 and Msn2/4 may also be co-regulated in HOG pathway. Second, a recent comprehensive phenotypic analysis has found that the deletion of Sok2 caused a decrease in the hyperosmotic stress resistance of cells [24]. This provides direct evidence that Sok2 is involved in HOG pathway.",Is data availability statement,,0
"With regard to clinical significance, we conclude that the change scores found in our study (mean difference LSP at 12 months: 6,1 for CAT and 1,5 for TAU; group difference LSP at 12 months: 3,8 based on the multilevel model) are consistent with previous studies on rehabilitative interventions in this population (4 points in 12 months 45 and 6 points in 18 months 46 ). The follow-up effect for the LSP is consistent with our hypothesis that with CAT as a nursing intervention, we would be able to maintain functional improvements when the intervention is continued. That is, we expected that nurses would internalize the CAT method and continue to provide CAT to the people in their caseload. Indeed, our results suggest that by implementing CAT as a nursing intervention we achieved continued delivery of the intervention, and, thereby, maintenance of the improvement. Nevertheless, due to a lack of follow-up **data** in the control group, we cannot draw definitive conclusions with regard to sustained improvements in the control condition.",Is data availability statement,,0
"Generating the sequence using a preferential attachment based model . We apply a preferential attachment based model to generated topic tuple sequences with power - law distributed usage of each topic tuple [ 32,37,38 ] . In the model , an individual 's activity is randomly chosen from the two actions . One is to explore a new subject and publish a paper with a new topic tuple . The other is to return to a previously studied subject and publish a paper with a topic tuple already used . The probability to explore is defined as ρn −γ in which the term n −γ captures the decreasing trend to explore a new subject as the number of papers increases . Consequently the probability of return , i.e. to reuse an old topic tuple , is 1 − ρn −γ . If one returns , the choice of existing topic tuples is governed by preferential attachment : the probability p i to use a specific topic tuple i is proportional to the tuple i 's current usage , so p i = n i / j n j where n i is the number of times that the tuple i is used . The parameters applied are ρ = 0.4 and γ = 0.1 . Each individual 's time step is controlled by the number of papers published , following distribution P ( n ) ∼ n −1.5 with a cutoff n max = 150 . These variables make the sequence generated similar to those in real data . We generate totally 20,000 independent sequences , a comparable number to the size of real data . See Supplementary Discussion 4 for more about the preferential attachment based model . Data availability . The Physical Review dataset is available upon requested from the APS at http://journals.aps.org/datasets . The name disambiguation procedure and the associated data are described in Ref . [ 6,43 ] .",Is data availability statement,,1
The metagenomes are deposited in European Bioinformatics Institute European Nucleotide Archive under accession no . PRJEB39223 . The non - metagenomic data used for analysis in this study are held by the Department of Twin Research at King 's College London . The data can be released to bona fide researchers using our normal procedures overseen by the Wellcome Trust and its guidelines as part of our core funding . We receive around 100 requests per year for our datasets and have three meetings per month with independent members to assess proposals . The application can be found at https://twinsuk.ac.uk/resources-for-researchers/ access - our - data/. This means that data need to be anonymized and conform to GDPR standards .,Is data availability statement,,1
"Olivetti et al . [ 57 ] synthesized the available data on consumption rates relative to available reserves for nickel ( Ni ) , manganese ( Mn ) , cobalt ( Co ) , lithium , ( Li ) , and natural graphite . They found that the ratio of known reserves to primary mine production ( also known as the static depletion index ) has increased for Co , Li , and natural graphite , suggesting that continued demand has resulted in additional exploration and extraction . Mn and Ni did not show an upward or downward trend , indicating that the ratio of production to known reserves has remained relatively constant . This highlights the challenge of attempting to place a single number on finite resource depletion as part of an LCA ; society 's understanding of available resources is not static . Increased demand drives advancements in exploration and recovery technologies . Material recovery potential through   recycling adds another layer of complexity . As Olivetti et al . [ 57 ] rightly point out , there is a time lag between when batteries are manufactured and when they reach the end of their life , so regardless of what can be recovered , recycling is unlikely to address any near - term ( 10 - 20 year ) material supply constraints . If battery technologies do not evolve away from reliance on these critical materials in coming decades , recycling can be an important long - term strategy . Pyrometallurgical recycling facilities will recover Ni , Co , Mn , and Copper ( Cu ) , [ 58 ] while hydrometallurgical recycling facilities will recover all of the aforementioned metals , as well as Li and aluminum ( Al ) . Direct recycling will recover an even larger range of materials , many of which can be reused without further processing . Given this context , it is worth revisiting the assertion by Peters et al . [ 11 ] that abiotic depletion ( an impact category representing depletion of non - renewable resources , such as minerals and fossil fuels ) is the most important impact of batteries on a normalized basis , exceeding the importance of GWP . Many of the nuances in critical material use and supply outlooks are lost in typical LCA practices and reducing these impacts to a single score is more likely to create confusion than generate useful insights , particularly when fossil fuel and critical material depletion are combined in a single score . This is particularly true for materials like Co and Li , for which demand is growing rapidly . In fact , a greater cause for concern is the geographic diversification , or lack thereof , in reserves and supply for some of these materials .",Is data availability statement,,0
"After witnessing the eclipse in La Serena on July 2nd, 2019, we were interested in finding out how much the atmosphere's surface layer had cooled during the event. Observers reported that they felt colder during the eclipse than before, but that does not necessarily imply that the air temperature dropped considerably, since much of the sensation may be due to an experienced reduction in direct radiative heating of the body. CEAZAMet operates a monitoring network with many stations inside the belt of totality of this eclipse which provided us with near-surface air temperature data. However, no 'obvious' pattern of change, such as a pronounced dip in the temperature curve, is consistently discernible at all or a majority of the stations. The eclipse occurred so close to sunset that temperatures had started dropping before C1 and little radiative energy was available after C4 to raise temperatures again. Furthermore, any features of the **data** from the day of the eclipse which could potentially be www.nature.com/scientificreports/ interpreted as dips in temperature do not stand out against the general background of intra-diurnal variability in the Coquimbo Region. This is because the dominantly southerly wind alternates frequently between a slight on-and offshore flow, which brings with it strong advective temperature changes since a cold ocean borders a strongly heated land surface.",Is data availability statement,,0
"The need for compact , high - performance imaging spectrometers that span an application space from satellite imagery to food safety has never been higher . In this data - driven world , consumers want to know more about the chemicals in their food or how to precisely match the paint color on their living room wall . Companies need fast , reliable methods of product inspection with high spatial and spectral resolution , necessitating imaging spectrometer instrumentation . A pushbroom imaging spectrometer images a slit onto a 2D detector array , where the length ( longest dimension ) of the slit sets the full field of view ( FOV ) of the spectrometer and lies along one of the dimensions of the detector array , while the spectral dispersion created by the grating spreads along the orthogonal dimension , along which the width ( smallest dimension ) of the slit is imaged . An increase in system requirements for spectral range and resolution , compactness , and FOV of spectrometers has motivated the emergence of technologies and applications in hyperspectral imaging .",Is data availability statement,,0
Fully annotated microarray **data** has been deposited in ArrayExpress (E-MTAB-162).,Is data availability statement,,1
"Comparison with Sample-wise AT. Previous works (Hendrycks et al. 2021;Yi et al. 2021) try to exploit samplewise AT as a **data** augmentation strategy to obtain higher OOD performance. However, the performance only improves when the distribution shift is dominated by diversity shift, e.g., noise, and blurring. Otherwise, performance might be degraded, as shown in Table 1. One possible explanation is that sample-wise AT fails to capture the domain-level variations as DAT. As a result, it may add perturbations to the invariant features and hurt performance, especially under correlation shift.",Is data availability statement,,0
"When we compared the non - normalized data to the data normalized to PMMoV , a difference was noticed , especially in the facilities that serve a larger population . On the other hand , while comparing data normalized to the PMMoV and data normalized to the flow , the results were very consistent .",Is data availability statement,,0
"showing that in this limit the numerics are under control . For the rescaled equation ( eq.14 ) we can study the lowest mass meson as a function of the quark mass . Figure 3 shows the value of the first meson mass as a function of the quark mass . The important point to note here is that there appears to be a mass gap in the m → 0 limit for l = 0 . The numerics make this calculation difficult , though at m = 10 −10 the value of M 1 is 0.28 . Note that in contrast to the equation of motion with l = 0 , the D7 - brane equation is perfectly well behaved in this limit and has discrete eigenvalues . This will be shown analytically in section 4.2 . The scale is set by the AdS radius R which can be tuned by hand to compare with lattice data .",Is data availability statement,,0
"BM-O and JO participated in the design of the study, patient evaluation, interpretation, and revision of data. DA-G and HC-M organized the data, also contributed to its interpretation as well as the writing of the first draft of the manuscript. GP-M contributed to **data** processing, statistical analysis, and **data** interpretation and wrote sections of the manuscript. All authors contributed to the article and approved the submitted version.",Is data availability statement,,1
"(73%) tetranucleotide, 46 (12%) trinucleotide and 54 (15%) dinucleotide microsatellites. The markers and their characteristics are provided [see Additional file 1]. The raw genotype **data** can be obtained by contacting the authors (aadeyemo@howard.edu or crotimi@howard.edu.)",Is data availability statement,,1
"Apart from the synthesis of the ligand (Naph 2 carbH, 1) and the phosphine oxides, all products described were treated with rigorous exclusion of air and water using standard air-sensitive handling techniques which included bench-top operations (Schlenk line) and glove-box techniques. NMR samples of air and moisture sensitive compounds were prepared using glove box techniques and contained in Young's tap modified borosilicate glass NMR tubes. NMR **data** were collected on either a Bruker DPX300, DPX400, AV400, AV(III)400, AV(III) 400HD or AV(III)600 spectrometer. Chemical shifts are quoted in ppm relative to TMS ( 1 H, 13 C{ 1 H}) and H 3 PO 4 ( 31 P, 31 P{ 1 H}). Reaction progress was monitored by quantitative 31 P, 31 P{ 1 H} NMR spectroscopy (inverse gated decoupled) of samples prepared in dry, non-deuterated toluene, with a C 6 D 6 insert for locking. Apart from the substrates employed in Entries 8-9, Table 2, which were prepared following reported procedures; [77] all reagents were used as received. Magnetic moments were calculated through the Evans method at 298 K, employing C 6 D 6 as solvent. Diamagnetic corrections were calculated according to Pascal's constants. [78] CCDC 1874664-1874672 contain the supplementary **data** for 3-9, 4-CO and 20 a. These **data** can be obtained free of charge from The Cambridge Crystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif. Safety warnings: 1-Naphthylamine is highly toxic and is suspected to be a carcinogen; great care must be taken during synthesis and adequate handling of waste should be procured. Carbon monoxide is an extremely toxic and flammable gas, good ventilation within a fumehood should be procured when running a Schlenk line with this gas as source, away from open flames and with a carbon monoxide detector operating at all times.",Is data availability statement,,1
All **data** present are available in the article and in the supporting information.,Is data availability statement,,1
"Regression methods fit a model to the historical **data** which is used to predict the baseline [13] [14]. They can potentially overcome biases incurred by averaging methods [12]. They often require considerable historical **data** for acceptable accuracy, and the models may be too simple to capture the complex behavior of individual agents.",Is data availability statement,,0
"At the core of the system's sensorimotor coordination are concurrently-running interaction processes. An interaction process writes **data** derived from its execution to an interaction history, which is kept in shared memory to be read by related processes. During each cycle, an interaction process reads from various interaction histories, performs some processing, and writes to its own interaction history.",Is data availability statement,,0
